xname yname prname i.fold nfolds nrepeats i.fold.inn nfolds.inn nrepeats.inn
57 genes.vals surv.grps predictorLogitLasso 1 5 10 0 5 1
58 go.vals surv.grps predictorLogitLasso 1 5 10 0 5 1
59 path.genes.vals surv.grps predictorLogitLasso 1 5 10 0 5 1
60 other.genes.vals surv.grps predictorLogitLasso 1 5 10 0 5 1
61 path.vals surv.grps predictorLogitLasso 1 5 10 0 5 1
62 eff.and.other.genes.vals surv.grps predictorLogitLasso 1 5 10 0 5 1
63 path.and.other.genes.vals surv.grps predictorLogitLasso 1 5 10 0 5 1
64 eff.vals surv.grps predictorNB 1 5 10 0 5 1
65 fun.vals surv.grps predictorNB 1 5 10 0 5 1
66 genes.vals surv.grps predictorNB 1 5 10 0 5 1
67 go.vals surv.grps predictorNB 1 5 10 0 5 1
68 path.genes.vals surv.grps predictorNB 1 5 10 0 5 1
69 other.genes.vals surv.grps predictorNB 1 5 10 0 5 1
70 path.vals surv.grps predictorNB 1 5 10 0 5 1
71 eff.and.other.genes.vals surv.grps predictorNB 1 5 10 0 5 1
72 path.and.other.genes.vals surv.grps predictorNB 1 5 10 0 5 1
73 eff.vals surv.grps predictorPAM 1 5 10 0 5 1
74 fun.vals surv.grps predictorPAM 1 5 10 0 5 1
75 genes.vals surv.grps predictorPAM 1 5 10 0 5 1
76 go.vals surv.grps predictorPAM 1 5 10 0 5 1
77 path.genes.vals surv.grps predictorPAM 1 5 10 0 5 1
78 other.genes.vals surv.grps predictorPAM 1 5 10 0 5 1
79 path.vals surv.grps predictorPAM 1 5 10 0 5 1
80 eff.and.other.genes.vals surv.grps predictorPAM 1 5 10 0 5 1
81 path.and.other.genes.vals surv.grps predictorPAM 1 5 10 0 5 1
82 eff.vals surv.grps predictorRadialSVM 1 5 10 0 5 1
83 fun.vals surv.grps predictorRadialSVM 1 5 10 0 5 1
84 genes.vals surv.grps predictorRadialSVM 1 5 10 0 5 1
85 go.vals surv.grps predictorRadialSVM 1 5 10 0 5 1
86 path.genes.vals surv.grps predictorRadialSVM 1 5 10 0 5 1
87 other.genes.vals surv.grps predictorRadialSVM 1 5 10 0 5 1
88 path.vals surv.grps predictorRadialSVM 1 5 10 0 5 1
89 eff.and.other.genes.vals surv.grps predictorRadialSVM 1 5 10 0 5 1
90 path.and.other.genes.vals surv.grps predictorRadialSVM 1 5 10 0 5 1
91 eff.vals surv.grps predictorRF 1 5 10 0 5 1
92 fun.vals surv.grps predictorRF 1 5 10 0 5 1
93 genes.vals surv.grps predictorRF 1 5 10 0 5 1
94 go.vals surv.grps predictorRF 1 5 10 0 5 1
95 path.genes.vals surv.grps predictorRF 1 5 10 0 5 1
96 other.genes.vals surv.grps predictorRF 1 5 10 0 5 1
97 path.vals surv.grps predictorRF 1 5 10 0 5 1
98 eff.and.other.genes.vals surv.grps predictorRF 1 5 10 0 5 1
99 path.and.other.genes.vals surv.grps predictorRF 1 5 10 0 5 1
100 eff.vals surv.grps predictorSparseSVM 1 5 10 0 5 1
101 fun.vals surv.grps predictorSparseSVM 1 5 10 0 5 1
102 genes.vals surv.grps predictorSparseSVM 1 5 10 0 5 1
103 go.vals surv.grps predictorSparseSVM 1 5 10 0 5 1
104 path.genes.vals surv.grps predictorSparseSVM 1 5 10 0 5 1
105 other.genes.vals surv.grps predictorSparseSVM 1 5 10 0 5 1
106 path.vals surv.grps predictorSparseSVM 1 5 10 0 5 1
107 eff.and.other.genes.vals surv.grps predictorSparseSVM 1 5 10 0 5 1
108 path.and.other.genes.vals surv.grps predictorSparseSVM 1 5 10 0 5 1
109 eff.vals surv.grps predictorConstant 2 5 10 0 5 1
110 fun.vals surv.grps predictorConstant 2 5 10 0 5 1
111 genes.vals surv.grps predictorConstant 2 5 10 0 5 1
112 go.vals surv.grps predictorConstant 2 5 10 0 5 1
113 path.genes.vals surv.grps predictorConstant 2 5 10 0 5 1
114 other.genes.vals surv.grps predictorConstant 2 5 10 0 5 1
115 path.vals surv.grps predictorConstant 2 5 10 0 5 1
116 eff.and.other.genes.vals surv.grps predictorConstant 2 5 10 0 5 1
117 path.and.other.genes.vals surv.grps predictorConstant 2 5 10 0 5 1
118 eff.vals surv.grps predictorGBM 2 5 10 0 5 1
119 fun.vals surv.grps predictorGBM 2 5 10 0 5 1
120 genes.vals surv.grps predictorGBM 2 5 10 0 5 1
121 go.vals surv.grps predictorGBM 2 5 10 0 5 1
122 path.genes.vals surv.grps predictorGBM 2 5 10 0 5 1
123 other.genes.vals surv.grps predictorGBM 2 5 10 0 5 1
124 path.vals surv.grps predictorGBM 2 5 10 0 5 1
125 eff.and.other.genes.vals surv.grps predictorGBM 2 5 10 0 5 1
126 path.and.other.genes.vals surv.grps predictorGBM 2 5 10 0 5 1
127 eff.vals surv.grps predictorKendallSVM 2 5 10 0 5 1
128 fun.vals surv.grps predictorKendallSVM 2 5 10 0 5 1
129 genes.vals surv.grps predictorKendallSVM 2 5 10 0 5 1
130 go.vals surv.grps predictorKendallSVM 2 5 10 0 5 1
131 path.genes.vals surv.grps predictorKendallSVM 2 5 10 0 5 1
132 other.genes.vals surv.grps predictorKendallSVM 2 5 10 0 5 1
133 path.vals surv.grps predictorKendallSVM 2 5 10 0 5 1
134 eff.and.other.genes.vals surv.grps predictorKendallSVM 2 5 10 0 5 1
135 path.and.other.genes.vals surv.grps predictorKendallSVM 2 5 10 0 5 1
136 eff.vals surv.grps predictorKNN 2 5 10 0 5 1
137 fun.vals surv.grps predictorKNN 2 5 10 0 5 1
138 genes.vals surv.grps predictorKNN 2 5 10 0 5 1
139 go.vals surv.grps predictorKNN 2 5 10 0 5 1
140 path.genes.vals surv.grps predictorKNN 2 5 10 0 5 1
141 other.genes.vals surv.grps predictorKNN 2 5 10 0 5 1
142 path.vals surv.grps predictorKNN 2 5 10 0 5 1
143 eff.and.other.genes.vals surv.grps predictorKNN 2 5 10 0 5 1
144 path.and.other.genes.vals surv.grps predictorKNN 2 5 10 0 5 1
145 eff.vals surv.grps predictorLDA 2 5 10 0 5 1
146 fun.vals surv.grps predictorLDA 2 5 10 0 5 1
147 genes.vals surv.grps predictorLDA 2 5 10 0 5 1
148 go.vals surv.grps predictorLDA 2 5 10 0 5 1
149 path.genes.vals surv.grps predictorLDA 2 5 10 0 5 1
150 other.genes.vals surv.grps predictorLDA 2 5 10 0 5 1
151 path.vals surv.grps predictorLDA 2 5 10 0 5 1
152 eff.and.other.genes.vals surv.grps predictorLDA 2 5 10 0 5 1
153 path.and.other.genes.vals surv.grps predictorLDA 2 5 10 0 5 1
154 eff.vals surv.grps predictorLinearSVM 2 5 10 0 5 1
155 fun.vals surv.grps predictorLinearSVM 2 5 10 0 5 1
156 genes.vals surv.grps predictorLinearSVM 2 5 10 0 5 1
157 go.vals surv.grps predictorLinearSVM 2 5 10 0 5 1
158 path.genes.vals surv.grps predictorLinearSVM 2 5 10 0 5 1
159 other.genes.vals surv.grps predictorLinearSVM 2 5 10 0 5 1
160 path.vals surv.grps predictorLinearSVM 2 5 10 0 5 1
161 eff.and.other.genes.vals surv.grps predictorLinearSVM 2 5 10 0 5 1
162 path.and.other.genes.vals surv.grps predictorLinearSVM 2 5 10 0 5 1
163 eff.vals surv.grps predictorLogitLasso 2 5 10 0 5 1
164 fun.vals surv.grps predictorLogitLasso 2 5 10 0 5 1
165 genes.vals surv.grps predictorLogitLasso 2 5 10 0 5 1
166 go.vals surv.grps predictorLogitLasso 2 5 10 0 5 1
167 path.genes.vals surv.grps predictorLogitLasso 2 5 10 0 5 1
168 other.genes.vals surv.grps predictorLogitLasso 2 5 10 0 5 1
169 path.vals surv.grps predictorLogitLasso 2 5 10 0 5 1
170 eff.and.other.genes.vals surv.grps predictorLogitLasso 2 5 10 0 5 1
171 path.and.other.genes.vals surv.grps predictorLogitLasso 2 5 10 0 5 1
172 eff.vals surv.grps predictorNB 2 5 10 0 5 1
173 fun.vals surv.grps predictorNB 2 5 10 0 5 1
174 genes.vals surv.grps predictorNB 2 5 10 0 5 1
175 go.vals surv.grps predictorNB 2 5 10 0 5 1
176 path.genes.vals surv.grps predictorNB 2 5 10 0 5 1
177 other.genes.vals surv.grps predictorNB 2 5 10 0 5 1
178 path.vals surv.grps predictorNB 2 5 10 0 5 1
179 eff.and.other.genes.vals surv.grps predictorNB 2 5 10 0 5 1
180 path.and.other.genes.vals surv.grps predictorNB 2 5 10 0 5 1
181 eff.vals surv.grps predictorPAM 2 5 10 0 5 1
182 fun.vals surv.grps predictorPAM 2 5 10 0 5 1
183 genes.vals surv.grps predictorPAM 2 5 10 0 5 1
184 go.vals surv.grps predictorPAM 2 5 10 0 5 1
185 path.genes.vals surv.grps predictorPAM 2 5 10 0 5 1
186 other.genes.vals surv.grps predictorPAM 2 5 10 0 5 1
187 path.vals surv.grps predictorPAM 2 5 10 0 5 1
188 eff.and.other.genes.vals surv.grps predictorPAM 2 5 10 0 5 1
189 path.and.other.genes.vals surv.grps predictorPAM 2 5 10 0 5 1
190 eff.vals surv.grps predictorRadialSVM 2 5 10 0 5 1
191 fun.vals surv.grps predictorRadialSVM 2 5 10 0 5 1
192 genes.vals surv.grps predictorRadialSVM 2 5 10 0 5 1
193 go.vals surv.grps predictorRadialSVM 2 5 10 0 5 1
194 path.genes.vals surv.grps predictorRadialSVM 2 5 10 0 5 1
195 other.genes.vals surv.grps predictorRadialSVM 2 5 10 0 5 1
196 path.vals surv.grps predictorRadialSVM 2 5 10 0 5 1
197 eff.and.other.genes.vals surv.grps predictorRadialSVM 2 5 10 0 5 1
198 path.and.other.genes.vals surv.grps predictorRadialSVM 2 5 10 0 5 1
199 eff.vals surv.grps predictorRF 2 5 10 0 5 1
200 fun.vals surv.grps predictorRF 2 5 10 0 5 1
201 genes.vals surv.grps predictorRF 2 5 10 0 5 1
202 go.vals surv.grps predictorRF 2 5 10 0 5 1
203 path.genes.vals surv.grps predictorRF 2 5 10 0 5 1
204 other.genes.vals surv.grps predictorRF 2 5 10 0 5 1
205 path.vals surv.grps predictorRF 2 5 10 0 5 1
206 eff.and.other.genes.vals surv.grps predictorRF 2 5 10 0 5 1
207 path.and.other.genes.vals surv.grps predictorRF 2 5 10 0 5 1
208 eff.vals surv.grps predictorSparseSVM 2 5 10 0 5 1
209 fun.vals surv.grps predictorSparseSVM 2 5 10 0 5 1
210 genes.vals surv.grps predictorSparseSVM 2 5 10 0 5 1
211 go.vals surv.grps predictorSparseSVM 2 5 10 0 5 1
212 path.genes.vals surv.grps predictorSparseSVM 2 5 10 0 5 1
213 other.genes.vals surv.grps predictorSparseSVM 2 5 10 0 5 1
214 path.vals surv.grps predictorSparseSVM 2 5 10 0 5 1
215 eff.and.other.genes.vals surv.grps predictorSparseSVM 2 5 10 0 5 1
216 path.and.other.genes.vals surv.grps predictorSparseSVM 2 5 10 0 5 1
217 eff.vals surv.grps predictorConstant 3 5 10 0 5 1
218 fun.vals surv.grps predictorConstant 3 5 10 0 5 1
219 genes.vals surv.grps predictorConstant 3 5 10 0 5 1
220 go.vals surv.grps predictorConstant 3 5 10 0 5 1
221 path.genes.vals surv.grps predictorConstant 3 5 10 0 5 1
222 other.genes.vals surv.grps predictorConstant 3 5 10 0 5 1
223 path.vals surv.grps predictorConstant 3 5 10 0 5 1
224 eff.and.other.genes.vals surv.grps predictorConstant 3 5 10 0 5 1
225 path.and.other.genes.vals surv.grps predictorConstant 3 5 10 0 5 1
226 eff.vals surv.grps predictorGBM 3 5 10 0 5 1
227 fun.vals surv.grps predictorGBM 3 5 10 0 5 1
228 genes.vals surv.grps predictorGBM 3 5 10 0 5 1
229 go.vals surv.grps predictorGBM 3 5 10 0 5 1
230 path.genes.vals surv.grps predictorGBM 3 5 10 0 5 1
231 other.genes.vals surv.grps predictorGBM 3 5 10 0 5 1
232 path.vals surv.grps predictorGBM 3 5 10 0 5 1
233 eff.and.other.genes.vals surv.grps predictorGBM 3 5 10 0 5 1
234 path.and.other.genes.vals surv.grps predictorGBM 3 5 10 0 5 1
235 eff.vals surv.grps predictorKendallSVM 3 5 10 0 5 1
236 fun.vals surv.grps predictorKendallSVM 3 5 10 0 5 1
237 genes.vals surv.grps predictorKendallSVM 3 5 10 0 5 1
238 go.vals surv.grps predictorKendallSVM 3 5 10 0 5 1
239 path.genes.vals surv.grps predictorKendallSVM 3 5 10 0 5 1
240 other.genes.vals surv.grps predictorKendallSVM 3 5 10 0 5 1
241 path.vals surv.grps predictorKendallSVM 3 5 10 0 5 1
242 eff.and.other.genes.vals surv.grps predictorKendallSVM 3 5 10 0 5 1
243 path.and.other.genes.vals surv.grps predictorKendallSVM 3 5 10 0 5 1
244 eff.vals surv.grps predictorKNN 3 5 10 0 5 1
245 fun.vals surv.grps predictorKNN 3 5 10 0 5 1
246 genes.vals surv.grps predictorKNN 3 5 10 0 5 1
247 go.vals surv.grps predictorKNN 3 5 10 0 5 1
248 path.genes.vals surv.grps predictorKNN 3 5 10 0 5 1
249 other.genes.vals surv.grps predictorKNN 3 5 10 0 5 1
250 path.vals surv.grps predictorKNN 3 5 10 0 5 1
251 eff.and.other.genes.vals surv.grps predictorKNN 3 5 10 0 5 1
252 path.and.other.genes.vals surv.grps predictorKNN 3 5 10 0 5 1
253 eff.vals surv.grps predictorLDA 3 5 10 0 5 1
254 fun.vals surv.grps predictorLDA 3 5 10 0 5 1
255 genes.vals surv.grps predictorLDA 3 5 10 0 5 1
256 go.vals surv.grps predictorLDA 3 5 10 0 5 1
257 path.genes.vals surv.grps predictorLDA 3 5 10 0 5 1
258 other.genes.vals surv.grps predictorLDA 3 5 10 0 5 1
259 path.vals surv.grps predictorLDA 3 5 10 0 5 1
260 eff.and.other.genes.vals surv.grps predictorLDA 3 5 10 0 5 1
261 path.and.other.genes.vals surv.grps predictorLDA 3 5 10 0 5 1
262 eff.vals surv.grps predictorLinearSVM 3 5 10 0 5 1
263 fun.vals surv.grps predictorLinearSVM 3 5 10 0 5 1
264 genes.vals surv.grps predictorLinearSVM 3 5 10 0 5 1
265 go.vals surv.grps predictorLinearSVM 3 5 10 0 5 1
266 path.genes.vals surv.grps predictorLinearSVM 3 5 10 0 5 1
267 other.genes.vals surv.grps predictorLinearSVM 3 5 10 0 5 1
268 path.vals surv.grps predictorLinearSVM 3 5 10 0 5 1
269 eff.and.other.genes.vals surv.grps predictorLinearSVM 3 5 10 0 5 1
270 path.and.other.genes.vals surv.grps predictorLinearSVM 3 5 10 0 5 1
271 eff.vals surv.grps predictorLogitLasso 3 5 10 0 5 1
272 fun.vals surv.grps predictorLogitLasso 3 5 10 0 5 1
273 genes.vals surv.grps predictorLogitLasso 3 5 10 0 5 1
274 go.vals surv.grps predictorLogitLasso 3 5 10 0 5 1
275 path.genes.vals surv.grps predictorLogitLasso 3 5 10 0 5 1
276 other.genes.vals surv.grps predictorLogitLasso 3 5 10 0 5 1
277 path.vals surv.grps predictorLogitLasso 3 5 10 0 5 1
278 eff.and.other.genes.vals surv.grps predictorLogitLasso 3 5 10 0 5 1
279 path.and.other.genes.vals surv.grps predictorLogitLasso 3 5 10 0 5 1
280 eff.vals surv.grps predictorNB 3 5 10 0 5 1
281 fun.vals surv.grps predictorNB 3 5 10 0 5 1
282 genes.vals surv.grps predictorNB 3 5 10 0 5 1
283 go.vals surv.grps predictorNB 3 5 10 0 5 1
284 path.genes.vals surv.grps predictorNB 3 5 10 0 5 1
285 other.genes.vals surv.grps predictorNB 3 5 10 0 5 1
286 path.vals surv.grps predictorNB 3 5 10 0 5 1
287 eff.and.other.genes.vals surv.grps predictorNB 3 5 10 0 5 1
288 path.and.other.genes.vals surv.grps predictorNB 3 5 10 0 5 1
289 eff.vals surv.grps predictorPAM 3 5 10 0 5 1
290 fun.vals surv.grps predictorPAM 3 5 10 0 5 1
291 genes.vals surv.grps predictorPAM 3 5 10 0 5 1
292 go.vals surv.grps predictorPAM 3 5 10 0 5 1
293 path.genes.vals surv.grps predictorPAM 3 5 10 0 5 1
294 other.genes.vals surv.grps predictorPAM 3 5 10 0 5 1
295 path.vals surv.grps predictorPAM 3 5 10 0 5 1
296 eff.and.other.genes.vals surv.grps predictorPAM 3 5 10 0 5 1
297 path.and.other.genes.vals surv.grps predictorPAM 3 5 10 0 5 1
298 eff.vals surv.grps predictorRadialSVM 3 5 10 0 5 1
299 fun.vals surv.grps predictorRadialSVM 3 5 10 0 5 1
300 genes.vals surv.grps predictorRadialSVM 3 5 10 0 5 1
301 go.vals surv.grps predictorRadialSVM 3 5 10 0 5 1
302 path.genes.vals surv.grps predictorRadialSVM 3 5 10 0 5 1
303 other.genes.vals surv.grps predictorRadialSVM 3 5 10 0 5 1
304 path.vals surv.grps predictorRadialSVM 3 5 10 0 5 1
305 eff.and.other.genes.vals surv.grps predictorRadialSVM 3 5 10 0 5 1
306 path.and.other.genes.vals surv.grps predictorRadialSVM 3 5 10 0 5 1
307 eff.vals surv.grps predictorRF 3 5 10 0 5 1
308 fun.vals surv.grps predictorRF 3 5 10 0 5 1
309 genes.vals surv.grps predictorRF 3 5 10 0 5 1
310 go.vals surv.grps predictorRF 3 5 10 0 5 1
311 path.genes.vals surv.grps predictorRF 3 5 10 0 5 1
312 other.genes.vals surv.grps predictorRF 3 5 10 0 5 1
313 path.vals surv.grps predictorRF 3 5 10 0 5 1
314 eff.and.other.genes.vals surv.grps predictorRF 3 5 10 0 5 1
315 path.and.other.genes.vals surv.grps predictorRF 3 5 10 0 5 1
316 eff.vals surv.grps predictorSparseSVM 3 5 10 0 5 1
317 fun.vals surv.grps predictorSparseSVM 3 5 10 0 5 1
318 genes.vals surv.grps predictorSparseSVM 3 5 10 0 5 1
319 go.vals surv.grps predictorSparseSVM 3 5 10 0 5 1
320 path.genes.vals surv.grps predictorSparseSVM 3 5 10 0 5 1
321 other.genes.vals surv.grps predictorSparseSVM 3 5 10 0 5 1
322 path.vals surv.grps predictorSparseSVM 3 5 10 0 5 1
323 eff.and.other.genes.vals surv.grps predictorSparseSVM 3 5 10 0 5 1
324 path.and.other.genes.vals surv.grps predictorSparseSVM 3 5 10 0 5 1
325 eff.vals surv.grps predictorConstant 4 5 10 0 5 1
326 fun.vals surv.grps predictorConstant 4 5 10 0 5 1
327 genes.vals surv.grps predictorConstant 4 5 10 0 5 1
328 go.vals surv.grps predictorConstant 4 5 10 0 5 1
329 path.genes.vals surv.grps predictorConstant 4 5 10 0 5 1
330 other.genes.vals surv.grps predictorConstant 4 5 10 0 5 1
331 path.vals surv.grps predictorConstant 4 5 10 0 5 1
332 eff.and.other.genes.vals surv.grps predictorConstant 4 5 10 0 5 1
333 path.and.other.genes.vals surv.grps predictorConstant 4 5 10 0 5 1
334 eff.vals surv.grps predictorGBM 4 5 10 0 5 1
335 fun.vals surv.grps predictorGBM 4 5 10 0 5 1
336 genes.vals surv.grps predictorGBM 4 5 10 0 5 1
337 go.vals surv.grps predictorGBM 4 5 10 0 5 1
338 path.genes.vals surv.grps predictorGBM 4 5 10 0 5 1
339 other.genes.vals surv.grps predictorGBM 4 5 10 0 5 1
340 path.vals surv.grps predictorGBM 4 5 10 0 5 1
341 eff.and.other.genes.vals surv.grps predictorGBM 4 5 10 0 5 1
342 path.and.other.genes.vals surv.grps predictorGBM 4 5 10 0 5 1
343 eff.vals surv.grps predictorKendallSVM 4 5 10 0 5 1
344 fun.vals surv.grps predictorKendallSVM 4 5 10 0 5 1
345 genes.vals surv.grps predictorKendallSVM 4 5 10 0 5 1
346 go.vals surv.grps predictorKendallSVM 4 5 10 0 5 1
347 path.genes.vals surv.grps predictorKendallSVM 4 5 10 0 5 1
348 other.genes.vals surv.grps predictorKendallSVM 4 5 10 0 5 1
349 path.vals surv.grps predictorKendallSVM 4 5 10 0 5 1
350 eff.and.other.genes.vals surv.grps predictorKendallSVM 4 5 10 0 5 1
351 path.and.other.genes.vals surv.grps predictorKendallSVM 4 5 10 0 5 1
352 eff.vals surv.grps predictorKNN 4 5 10 0 5 1
353 fun.vals surv.grps predictorKNN 4 5 10 0 5 1
354 genes.vals surv.grps predictorKNN 4 5 10 0 5 1
355 go.vals surv.grps predictorKNN 4 5 10 0 5 1
356 path.genes.vals surv.grps predictorKNN 4 5 10 0 5 1
357 other.genes.vals surv.grps predictorKNN 4 5 10 0 5 1
358 path.vals surv.grps predictorKNN 4 5 10 0 5 1
359 eff.and.other.genes.vals surv.grps predictorKNN 4 5 10 0 5 1
360 path.and.other.genes.vals surv.grps predictorKNN 4 5 10 0 5 1
361 eff.vals surv.grps predictorLDA 4 5 10 0 5 1
362 fun.vals surv.grps predictorLDA 4 5 10 0 5 1
363 genes.vals surv.grps predictorLDA 4 5 10 0 5 1
364 go.vals surv.grps predictorLDA 4 5 10 0 5 1
365 path.genes.vals surv.grps predictorLDA 4 5 10 0 5 1
366 other.genes.vals surv.grps predictorLDA 4 5 10 0 5 1
367 path.vals surv.grps predictorLDA 4 5 10 0 5 1
368 eff.and.other.genes.vals surv.grps predictorLDA 4 5 10 0 5 1
369 path.and.other.genes.vals surv.grps predictorLDA 4 5 10 0 5 1
370 eff.vals surv.grps predictorLinearSVM 4 5 10 0 5 1
371 fun.vals surv.grps predictorLinearSVM 4 5 10 0 5 1
372 genes.vals surv.grps predictorLinearSVM 4 5 10 0 5 1
373 go.vals surv.grps predictorLinearSVM 4 5 10 0 5 1
374 path.genes.vals surv.grps predictorLinearSVM 4 5 10 0 5 1
375 other.genes.vals surv.grps predictorLinearSVM 4 5 10 0 5 1
376 path.vals surv.grps predictorLinearSVM 4 5 10 0 5 1
377 eff.and.other.genes.vals surv.grps predictorLinearSVM 4 5 10 0 5 1
378 path.and.other.genes.vals surv.grps predictorLinearSVM 4 5 10 0 5 1
379 eff.vals surv.grps predictorLogitLasso 4 5 10 0 5 1
380 fun.vals surv.grps predictorLogitLasso 4 5 10 0 5 1
381 genes.vals surv.grps predictorLogitLasso 4 5 10 0 5 1
382 go.vals surv.grps predictorLogitLasso 4 5 10 0 5 1
383 path.genes.vals surv.grps predictorLogitLasso 4 5 10 0 5 1
384 other.genes.vals surv.grps predictorLogitLasso 4 5 10 0 5 1
385 path.vals surv.grps predictorLogitLasso 4 5 10 0 5 1
386 eff.and.other.genes.vals surv.grps predictorLogitLasso 4 5 10 0 5 1
387 path.and.other.genes.vals surv.grps predictorLogitLasso 4 5 10 0 5 1
388 eff.vals surv.grps predictorNB 4 5 10 0 5 1
389 fun.vals surv.grps predictorNB 4 5 10 0 5 1
390 genes.vals surv.grps predictorNB 4 5 10 0 5 1
391 go.vals surv.grps predictorNB 4 5 10 0 5 1
392 path.genes.vals surv.grps predictorNB 4 5 10 0 5 1
393 other.genes.vals surv.grps predictorNB 4 5 10 0 5 1
394 path.vals surv.grps predictorNB 4 5 10 0 5 1
395 eff.and.other.genes.vals surv.grps predictorNB 4 5 10 0 5 1
396 path.and.other.genes.vals surv.grps predictorNB 4 5 10 0 5 1
397 eff.vals surv.grps predictorPAM 4 5 10 0 5 1
398 fun.vals surv.grps predictorPAM 4 5 10 0 5 1
399 genes.vals surv.grps predictorPAM 4 5 10 0 5 1
400 go.vals surv.grps predictorPAM 4 5 10 0 5 1
401 path.genes.vals surv.grps predictorPAM 4 5 10 0 5 1
402 other.genes.vals surv.grps predictorPAM 4 5 10 0 5 1
403 path.vals surv.grps predictorPAM 4 5 10 0 5 1
404 eff.and.other.genes.vals surv.grps predictorPAM 4 5 10 0 5 1
405 path.and.other.genes.vals surv.grps predictorPAM 4 5 10 0 5 1
406 eff.vals surv.grps predictorRadialSVM 4 5 10 0 5 1
407 fun.vals surv.grps predictorRadialSVM 4 5 10 0 5 1
408 genes.vals surv.grps predictorRadialSVM 4 5 10 0 5 1
409 go.vals surv.grps predictorRadialSVM 4 5 10 0 5 1
410 path.genes.vals surv.grps predictorRadialSVM 4 5 10 0 5 1
411 other.genes.vals surv.grps predictorRadialSVM 4 5 10 0 5 1
412 path.vals surv.grps predictorRadialSVM 4 5 10 0 5 1
